0.000000, BDCR ok: 00008200
0.000000, flash: latency=0
0.000000, rcc: Clocks { hclk1: MaybeHertz(16000000), hclk2: MaybeHertz(16000000), hse: MaybeHertz(0), lse: MaybeHertz(0), lsi: MaybeHertz(0), pclk1: MaybeHertz(16000000), pclk1_tim: MaybeHertz(16000000), pclk2: MaybeHertz(16000000), pclk2_tim: MaybeHertz(16000000), pll1_q: MaybeHertz(0), plli2s1_p: MaybeHertz(0), plli2s1_q: MaybeHertz(0), plli2s1_r: MaybeHertz(0), pllsai1_q: MaybeHertz(0), rtc: MaybeHertz(32000), sys: MaybeHertz(16000000) }
0.000122, Hello World!
0.001007, VrefInt: 1499
0.001770, VCCA: 3305 mV
5.536499, 379, 305
5.548126, 377, 304
5.559753, 370, 298
5.571380, 367, 296
5.583007, 377, 304
5.594635, 366, 295
5.606262, 364, 293
5.617889, 362, 292
5.629516, 369, 297
5.641143, 374, 301
5.652770, 370, 298
5.664398, 378, 305
5.676025, 381, 307
5.687652, 380, 306
5.699279, 363, 293
5.710906, 386, 311
5.722534, 343, 276
5.734161, 359, 289
5.745788, 372, 300
5.757415, 359, 289
5.769042, 362, 292
5.780670, 358, 288
5.792297, 383, 309
5.815551, 384, 309
5.827178, 351, 283
5.838806, 363, 293
5.850433, 381, 307
5.862060, 375, 302
5.873687, 391, 315
5.885314, 352, 284
5.896942, 375, 302
5.908569, 378, 305
5.920196, 361, 291
5.931823, 380, 306
5.943450, 375, 302
5.955078, 387, 312
5.966705, 348, 280
5.978332, 372, 300
5.989959, 374, 301
6.001586, 363, 293
6.013214, 382, 308
6.024841, 376, 303
6.036468, 385, 310
6.048095, 364, 293
6.059722, 354, 285
6.071350, 358, 288
6.082977, 358, 288
6.094604, 368, 297
6.106231, 359, 289
6.117858, 364, 293
6.141113, 379, 305
6.152740, 372, 300
6.164367, 358, 288
6.175994, 386, 311
6.187622, 362, 292
6.199249, 367, 296
6.210876, 379, 305
6.222503, 360, 290
6.234130, 372, 300
6.245758, 358, 288
6.257385, 383, 309
6.269012, 365, 294
6.280639, 364, 293
6.292266, 381, 307
6.303894, 373, 301
6.315521, 370, 298
6.327148, 363, 293
6.338775, 380, 306
6.350402, 380, 306
6.362030, 379, 305
6.373657, 385, 310
6.385284, 361, 291
6.396911, 373, 301
6.408538, 358, 288
6.420166, 381, 307
6.431793, 367, 296
6.443420, 379, 305
6.466674, 362, 292
6.478302, 375, 302
6.489929, 375, 302
6.501556, 365, 294
6.513183, 365, 294
6.524810, 357, 288
6.536437, 384, 309
6.548065, 357, 288
6.559692, 358, 288
6.571319, 370, 298
6.582946, 372, 300
6.594573, 375, 302
6.606201, 360, 290
6.617828, 384, 309
6.629455, 343, 276
6.641082, 371, 299
6.652709, 362, 292
6.664337, 356, 287
6.675964, 377, 304
6.687591, 355, 286
6.699218, 380, 306
6.710845, 374, 301
6.722473, 375, 302
6.734100, 385, 310
6.745727, 363, 293
6.757354, 373, 301
6.768981, 369, 297
6.780609, 362, 292
6.792236, 358, 288
6.803863, 364, 293
6.815490, 378, 305
6.827117, 367, 296
6.838745, 385, 310
6.850372, 344, 277
6.861999, 354, 285
6.873626, 354, 285
6.885253, 371, 299
6.896881, 375, 302
6.908508, 364, 293
6.920135, 384, 309
6.931762, 362, 292
6.943389, 372, 300
6.955017, 357, 288
6.966644, 359, 289
6.978271, 382, 308
6.989898, 360, 290
7.001525, 373, 301
7.013153, 377, 304
7.024780, 363, 293
7.036407, 378, 305
7.048034, 358, 288
7.059661, 368, 297
7.071289, 371, 299
7.082916, 369, 297
7.094543, 360, 290
7.106170, 373, 301
7.117797, 385, 310
7.129425, 359, 289
7.141052, 380, 306
7.152679, 373, 301
7.164306, 371, 299
7.175933, 365, 294
7.187561, 377, 304
7.199188, 370, 298
7.210815, 375, 302
7.222442, 389, 314
7.234069, 349, 281
7.245697, 361, 291
7.257324, 374, 301
7.268951, 358, 288
7.280578, 368, 297
7.292205, 374, 301
7.303833, 370, 298
7.315460, 380, 306
7.327087, 356, 287
7.338714, 383, 309
7.350341, 375, 302
7.361968, 376, 303
7.373596, 376, 303
7.385223, 382, 308
7.396850, 367, 296
7.408477, 383, 309
7.420104, 377, 304
7.431732, 377, 304
7.443359, 386, 311
7.454986, 345, 278
7.466613, 353, 284
7.478240, 361, 291
7.489868, 355, 286
7.501495, 377, 304
7.513122, 372, 300
7.524749, 368, 297
7.536376, 375, 302
7.548004, 382, 308
7.559631, 365, 294
7.571258, 376, 303
7.582885, 383, 309
7.594512, 380, 306
7.606140, 385, 310
7.617767, 367, 296
7.629394, 376, 303
7.641021, 364, 293
7.652648, 357, 288
7.664276, 369, 297
7.675903, 376, 303
7.687530, 381, 307
7.699157, 367, 296
7.710784, 377, 304
7.722412, 370, 298
7.734039, 378, 305
7.745666, 388, 313
7.757293, 363, 293
7.768920, 374, 301
7.780548, 365, 294
7.792175, 375, 302
7.803802, 370, 298
7.815429, 360, 290
7.827056, 381, 307
7.838684, 372, 300
7.850311, 365, 294
7.861938, 384, 309
7.873565, 345, 278
7.885192, 356, 287
7.896820, 359, 289
7.908447, 361, 291
7.920074, 358, 288
7.931701, 361, 291
7.943328, 362, 292
7.954956, 357, 288
7.966583, 365, 294
7.978210, 359, 289
7.989837, 364, 293
8.001464, 362, 292
8.013092, 360, 290
8.024719, 375, 302
8.036346, 360, 290
8.047973, 367, 296
8.059600, 359, 289
8.071228, 383, 309
8.094482, 381, 307
8.106109, 378, 305
8.117736, 373, 301
8.129364, 380, 306
8.140991, 365, 294
8.152618, 367, 296
8.164245, 385, 310
8.175872, 344, 277
8.187438, 363, 293
8.199066, 368, 297
8.210693, 376, 303
8.222320, 360, 290
8.233947, 358, 288
8.245574, 386, 311
8.257202, 360, 290
8.268829, 357, 288
8.280456, 358, 288
8.292083, 362, 292
8.303710, 368, 297
8.315338, 353, 284
8.326965, 365, 294
8.338592, 376, 303
8.350219, 385, 310
8.361846, 350, 282
8.373474, 354, 285
8.385101, 363, 293
8.396728, 370, 298
8.408355, 367, 296
8.419982, 378, 305
8.431610, 368, 297
8.443237, 364, 293
8.454864, 358, 288
8.466491, 366, 295
8.478118, 376, 303
8.489746, 380, 306
8.501373, 375, 302
8.513000, 382, 308
8.524627, 369, 297
8.536254, 360, 290
8.547882, 365, 294
8.559509, 359, 289
8.571136, 381, 307
8.582702, 383, 309
8.594329, 384, 309
8.605957, 356, 287
8.617584, 368, 297
8.629211, 364, 293
8.640838, 370, 298
8.652465, 383, 309
8.664093, 370, 298
8.675720, 366, 295
8.687347, 370, 298
8.698974, 359, 289
8.710601, 370, 298
8.722229, 360, 290
8.733856, 361, 291
8.745483, 362, 292
8.757110, 371, 299
8.768737, 365, 294
8.780364, 360, 290
8.791992, 376, 303
8.803619, 370, 298
8.815246, 362, 292
8.826873, 364, 293
8.838500, 371, 299
8.850128, 378, 305
8.861755, 376, 303
8.873382, 381, 307
8.885009, 366, 295
8.896636, 363, 293
8.908264, 385, 310
8.919891, 360, 290
8.931518, 359, 289
8.943145, 356, 287
8.954772, 379, 305
8.966400, 365, 294
8.977966, 382, 308
8.989593, 390, 314
9.001220, 349, 281
9.012847, 359, 289
9.024475, 375, 302
9.036102, 364, 293
9.047729, 364, 293
9.059356, 372, 300
9.070983, 369, 297
9.082611, 375, 302
9.094238, 384, 309
9.105865, 349, 281
9.117492, 374, 301
9.129119, 381, 307
9.140747, 379, 305
9.152374, 375, 302
9.175628, 369, 297
9.187255, 361, 291
9.198883, 375, 302
9.210510, 372, 300
9.222137, 360, 290
9.233764, 381, 307
9.245391, 377, 304
9.257019, 382, 308
9.268646, 373, 301
9.280273, 378, 305
9.291900, 368, 297
9.303527, 357, 288
9.315155, 380, 306
9.326782, 375, 302
9.338409, 364, 293
9.350036, 366, 295
9.361663, 359, 289
9.373291, 372, 300
9.384918, 375, 302
9.396545, 388, 313
9.408172, 350, 282
9.419799, 357, 288
9.431427, 378, 305
9.443054, 355, 286
9.454681, 379, 305
9.466308, 357, 288
9.477935, 378, 305
9.489562, 382, 308
9.501190, 367, 296
9.512817, 388, 313
9.524444, 349, 281
9.536071, 367, 296
9.547698, 373, 301
9.559326, 364, 293
9.570953, 379, 305
9.582580, 361, 291
9.594207, 367, 296
9.605834, 359, 289
9.617462, 385, 310
9.629089, 364, 293
9.640716, 369, 297
9.652343, 371, 299
9.663970, 375, 302
9.675598, 387, 312
9.687225, 360, 290
9.710479, 359, 289
9.722106, 359, 289
9.733734, 385, 310
9.745361, 344, 277
9.756988, 354, 285
9.768615, 369, 297
9.780242, 359, 289
9.791870, 380, 306
9.803497, 363, 293
9.815124, 368, 297
9.826751, 360, 290
9.838378, 367, 296
9.850006, 379, 305
9.861633, 365, 294
9.873260, 387, 312
9.884887, 362, 292
9.896514, 368, 297
9.908142, 362, 292
9.919769, 373, 301
9.931396, 363, 293
9.943023, 373, 301
9.954650, 385, 310
