0.100494, VREFINT_LOW 1669
0.100921, ADC_DR 0
0.101623, ADC reference value is 65520
7.038452, 15856, 86.5615
7.052612, 9712, 81.2005
7.066772, 9712, 76.471695
7.080932, 9712, 72.269485
7.095092, 9712, 68.51055
7.109252, 9712, 65.12826
7.123413, 65520, 1334.3334
7.137573, 34800, 654.0612
7.151733, 32752, 433.43243
7.165893, 32752, 324.23233
7.180053, 32752, 259.0645
7.194213, 17392, 215.7651
7.208374, 17392, 184.90805
7.222534, 17392, 161.80402
7.236694, 17392, 143.85715
7.250854, 17392, 129.51405
7.265014, 17392, 117.78832
7.279174, 17392, 108.023415
7.293334, 17392, 99.765434
7.307495, 17392, 92.690544
7.321655, 17392, 86.5615
7.335815, 15344, 81.2005
7.349975, 9712, 76.471695
7.364135, 9712, 72.269485
7.378295, 9712, 68.51055
7.392456, 9712, 65.12826
7.406616, 65520, 1334.3334
7.420776, 32752, 654.0612
7.434936, 32752, 433.43243
7.449096, 32752, 324.23233
7.463256, 17392, 259.0645
7.477416, 17392, 215.7651
7.491577, 17392, 184.90805
7.505737, 17392, 161.80402
7.519897, 17392, 143.85715
7.534057, 17392, 129.51405
7.548217, 17392, 117.78832
7.562377, 17392, 108.023415
7.576538, 14320, 99.765434
7.590698, 9712, 92.690544
7.604858, 9712, 86.5615
7.619018, 9712, 81.2005
7.633178, 9712, 76.471695
7.647338, 9712, 72.269485
7.661499, 9712, 68.51055
7.675659, 9712, 65.12826
7.703979, 32752, 654.0612
7.718139, 32752, 433.43243
7.732299, 32752, 324.23233
7.746459, 32752, 259.0645
7.760620, 17392, 215.7651
7.774780, 17392, 184.90805
7.788940, 17392, 161.80402
7.803100, 17392, 143.85715
7.817260, 17392, 129.51405
7.831420, 17392, 117.78832
7.845581, 17392, 108.023415
7.859741, 17392, 99.765434
7.873901, 17392, 92.690544
7.888061, 9712, 86.5615
7.902221, 9712, 81.2005
7.916381, 9712, 76.471695
7.930541, 9712, 72.269485
7.944702, 9712, 68.51055
7.958862, 9712, 65.12826
7.973022, 65520, 1334.3334
7.987182, 32752, 654.0612
8.001403, 32752, 433.43243
8.015563, 17392, 324.23233
8.029724, 17392, 259.0645
8.043884, 17392, 215.7651
8.058044, 17392, 184.90805
8.072204, 17392, 161.80402
8.086364, 17392, 143.85715
8.100524, 17392, 129.51405
8.114685, 17392, 117.78832
8.128845, 17392, 108.023415
8.143005, 17392, 99.765434
8.157165, 17392, 92.690544
8.171325, 17392, 86.5615
8.185485, 17392, 81.2005
8.199645, 17392, 76.471695
8.213806, 10736, 72.269485
8.227966, 9712, 68.51055
8.242126, 9712, 65.12826
8.256286, 65520, 1334.3334
8.270446, 34800, 654.0612
8.284606, 32752, 433.43243
8.298767, 32752, 324.23233
8.312927, 27632, 259.0645
8.327087, 32752, 215.7651
8.341247, 32752, 184.90805
8.355407, 32752, 161.80402
8.369567, 32752, 143.85715
8.383728, 17392, 129.51405
8.397888, 17392, 117.78832
8.412048, 17392, 108.023415
8.426208, 17392, 99.765434
8.440368, 17392, 92.690544
8.454528, 17392, 86.5615
8.468688, 9712, 81.2005
8.482849, 9712, 76.471695
8.497009, 15856, 72.269485
8.511169, 9712, 68.51055
8.525329, 8176, 65.12826
8.539489, 32752, 1334.3334
8.553649, 17392, 654.0612
8.567810, 4080, 433.43243
8.581970, 4080, 324.23233
8.596130, 4080, 259.0645
8.610290, 4080, 215.7651
8.624450, 4336, 184.90805
8.638610, 8176, 161.80402
8.652770, 9712, 143.85715
8.666931, 9712, 129.51405
8.681091, 17392, 117.78832
8.695251, 17392, 108.023415
8.709411, 17392, 99.765434
8.723571, 10736, 92.690544
8.737731, 13296, 86.5615
8.751892, 16368, 81.2005
8.766052, 11248, 76.471695
