0.000000, BDCR ok: 00008200
0.000000, rcc: Clocks { hclk1: MaybeHertz(16000000), hse: MaybeHertz(0), hsi: MaybeHertz(16000000), lse: MaybeHertz(0), lsi: MaybeHertz(0), pclk1: MaybeHertz(16000000), pclk1_tim: MaybeHertz(16000000), pll1_p: MaybeHertz(0), pll1_q: MaybeHertz(0), rtc: MaybeHertz(32000), sys: MaybeHertz(16000000) }
0.000152, Hello World!
5.972473, 127, 
5.984863, 255, 
5.997253, 255, 
6.009643, 127, 
6.022033, 31, 
6.034423, 255, 
6.046813, 255, 
6.059204, 127, 
6.071594, 127, 
6.083984, 255, 
6.096374, 0, 
6.108673, 255, 
6.121063, 22, 
6.133453, 0, 
6.145751, 255, 
6.158142, 127, 
6.170532, 255, 
6.182922, 127, 
6.195312, 255, 
6.207702, 127, 
6.220092, 63, 
6.232482, 255, 
6.244873, 127, 
6.257263, 255, 
6.269653, 95, 
6.282043, 127, 
6.294433, 255, 
6.306823, 128, 
6.319213, 255, 
6.331604, 255, 
6.343994, 127, 
6.356384, 127, 
6.368774, 255, 
6.381164, 127, 
6.393554, 127, 
6.405944, 255, 
6.418334, 255, 
6.430725, 16, 
6.443115, 255, 
6.455505, 255, 
6.467895, 255, 
6.480285, 116, 
6.492675, 255, 
6.505065, 255, 
6.517456, 255, 
6.529846, 255, 
6.542236, 52, 
6.554626, 255, 
6.567016, 255, 
6.579406, 105, 
6.591796, 255, 
6.604187, 127, 
6.616577, 127, 
6.628967, 127, 
6.641357, 127, 
6.653747, 255, 
6.666137, 127, 
6.678527, 127, 
6.690917, 143, 
6.703308, 63, 
6.715698, 255, 
6.728088, 63, 
6.740478, 15, 
6.752868, 15, 
6.765258, 127, 
6.777648, 127, 
6.790039, 127, 
6.802429, 255, 
6.814819, 255, 
6.827209, 127, 
6.839599, 127, 
6.851989, 116, 
6.864379, 127, 
6.876770, 255, 
6.889160, 255, 
6.901550, 255, 
6.913940, 255, 
6.926330, 127, 
6.938720, 127, 
6.951110, 127, 
6.963500, 79, 
6.975891, 63, 
6.988281, 255, 
7.000793, 0, 
7.013092, 159, 
7.025482, 0, 
7.037780, 246, 
7.050170, 127, 
7.062561, 255, 
7.087341, 255, 
7.099731, 255, 
7.112121, 10, 
7.124511, 255, 
7.136901, 127, 
7.149291, 255, 
7.161682, 255, 
7.174072, 127, 
7.186462, 255, 
7.198852, 0, 
7.211151, 23, 
7.223541, 127, 
7.235931, 127, 
7.248321, 255, 
7.260711, 127, 
7.273101, 127, 
7.285491, 255, 
7.297882, 127, 
7.310272, 255, 
7.322662, 255, 
7.335052, 20, 
7.347442, 127, 
7.359832, 255, 
7.372222, 255, 
7.384613, 127, 
7.397003, 255, 
7.409393, 127, 
7.421783, 127, 
7.434173, 63, 
7.446563, 15, 
7.458953, 255, 
7.471343, 31, 
7.483642, 255, 
7.496032, 0, 
7.508331, 255, 
7.520721, 0, 
7.533020, 127, 
7.545410, 255, 
7.557800, 255, 
7.570190, 118, 
7.582580, 255, 
7.594970, 255, 
7.619750, 250, 
7.632141, 127, 
7.644531, 127, 
7.656921, 255, 
7.669311, 255, 
7.681701, 255, 
7.694091, 224, 
7.706481, 255, 
7.731262, 255, 
7.743652, 255, 
7.756042, 127, 
7.768432, 13, 
7.780822, 255, 
7.793212, 255, 
7.805603, 63, 
7.817993, 255, 
7.830383, 127, 
7.842773, 127, 
7.855163, 255, 
7.867553, 127, 
7.879943, 31, 
7.892333, 127, 
7.904724, 127, 
7.917114, 255, 
7.929504, 255, 
7.941894, 0, 
7.954193, 255, 
7.966583, 255, 
7.978973, 127, 
7.991363, 255, 
8.003753, 41, 
8.016143, 255, 
8.028533, 0, 
8.040832, 127, 
8.053222, 255, 
8.065612, 127, 
8.078002, 255, 
8.090393, 127, 
8.102783, 255, 
8.115173, 255, 
8.127563, 255, 
8.139953, 255, 
8.152343, 127, 
8.164733, 127, 
8.177124, 255, 
8.189514, 255, 
8.201904, 255, 
8.214294, 255, 
8.226684, 255, 
8.239074, 255, 
8.251464, 1, 
8.263854, 127, 
8.276245, 127, 
8.288635, 255, 
8.301025, 127, 
8.313415, 63, 
8.325805, 63, 
8.338195, 127, 
8.350585, 63, 
8.362976, 251, 
8.375366, 127, 
8.387756, 255, 
8.400146, 255, 
8.412536, 127, 
8.424926, 47, 
8.437316, 127, 
8.449707, 31, 
8.474487, 127, 
8.486877, 127, 
8.499267, 255, 
8.511657, 63, 
8.524047, 255, 
8.536437, 127, 
8.548828, 255, 
8.561218, 255, 
8.573608, 255, 
8.585998, 127, 
8.598388, 0, 
8.610687, 255, 
8.623077, 11, 
8.635467, 127, 
8.647857, 255, 
8.660247, 63, 
8.672637, 127, 
8.697418, 255, 
8.709808, 127, 
8.722198, 127, 
8.734588, 127, 
8.746978, 255, 
8.759368, 127, 
8.771759, 127, 
8.784149, 255, 
8.796539, 255, 
8.808929, 127, 
8.821319, 255, 
8.833709, 63, 
8.846099, 127, 
8.858489, 255, 
8.870880, 0, 
8.883178, 255, 
8.895568, 127, 
8.907958, 0, 
8.920257, 127, 
8.932647, 6, 
8.945037, 127, 
8.957427, 127, 
8.969818, 126, 
8.982208, 127, 
8.994598, 127, 
